itemId,title,category,distance,duration,nearby_places,url,p_rating,count,latitude,longitude,image_url
34,Mehtab Bagh,Garden,3 km,1 hr,Taj Mahal,/uttar-pradesh/agra/mehtab-bagh,4.5,412,27.1905,78.0598,https://source.unsplash.com/featured/800x500/?Mehtab+Bagh+agra+Garden+India+travel
35,Fatehpur Sikri,Heritage,35 km,3-4 hrs,,/uttar-pradesh/agra/fatehpur-sikri,4.7,634,27.0929,77.8794,https://source.unsplash.com/featured/800x500/?Fatehpur+Sikri+agra+Heritage+India+travel
36,Akbars Tomb,Heritage,9 km,1-2 hrs,,/uttar-pradesh/agra/akbars-tomb,4.3,289,27.0645,78.0234,https://source.unsplash.com/featured/800x500/?Akbars+Tomb+agra+Heritage+India+travel
37,Mariam Mosque,Pilgrimage,4 km,45 min,,/uttar-pradesh/agra/mariam-mosque,4.4,178,27.1912,78.0087,https://source.unsplash.com/featured/800x500/?Mariam+Mosque+agra+Pilgrimage+India+travel
38,Etah Sanctuary,Wildlife,30 km,2-3 hrs,,/uttar-pradesh/agra/etah-sanctuary,4.2,234,26.9823,77.8934,https://source.unsplash.com/featured/800x500/?Etah+Sanctuary+agra+Wildlife+India+travel
39,Chini ka Rauza,Heritage,6 km,1 hr,,/uttar-pradesh/agra/chini-ka-rauza,4.2,156,27.1834,78.0456,https://source.unsplash.com/featured/800x500/?Chini+ka+Rauza+agra+Heritage+India+travel
40,Khas Mahal,Heritage,2 km,1 hr,Agra Fort,/uttar-pradesh/agra/khas-mahal,4.4,267,27.1808,78.0095,https://source.unsplash.com/featured/800x500/?Khas+Mahal+agra+Heritage+India+travel
41,Baga Beach,Beach,0 km,2-4 hrs,Calangute,/goa/goa/baga-beach,4.5,456,15.5855,73.7314,https://source.unsplash.com/featured/800x500/?Baga+Beach+goa+Beach+India+travel
42,Basilica of Bom Jesus,Pilgrimage,10 km,1-2 hrs,Se Cathedral,/goa/goa/basilica-of-bom-jesus,4.8,567,15.4909,73.8256,https://source.unsplash.com/featured/800x500/?Basilica+of+Bom+Jesus+goa+Pilgrimage+India+travel
43,Calangute Beach,Beach,2 km,2-3 hrs,Baga,/goa/goa/calangute-beach,4.4,378,15.5581,73.7371,https://source.unsplash.com/featured/800x500/?Calangute+Beach+goa+Beach+India+travel
44,Fort Aguada,Heritage,15 km,1-2 hrs,,/goa/goa/fort-aguada,4.6,423,15.4922,73.7631,https://source.unsplash.com/featured/800x500/?Fort+Aguada+goa+Heritage+India+travel
45,Palolem Beach,Beach,60 km,3-4 hrs,,/goa/goa/palolem-beach,4.7,534,14.9309,73.9764,https://source.unsplash.com/featured/800x500/?Palolem+Beach+goa+Beach+India+travel
46,Dudhsagar Falls,Nature,55 km,4-5 hrs,,/goa/goa/dudhsagar-falls,4.8,645,15.3,74.0361,https://source.unsplash.com/featured/800x500/?Dudhsagar+Falls+goa+Nature+India+travel
47,Se Cathedral,Pilgrimage,12 km,1 hr,Basilica,/goa/goa/se-cathedral,4.5,389,15.4972,73.827,https://source.unsplash.com/featured/800x500/?Se+Cathedral+goa+Pilgrimage+India+travel
48,Old Goa,Heritage,10 km,2-3 hrs,Basilica,/goa/goa/old-goa,4.6,423,15.5033,73.8298,https://source.unsplash.com/featured/800x500/?Old+Goa+goa+Heritage+India+travel
49,Colem Beach,Beach,50 km,3-4 hrs,,/goa/goa/colem-beach,4.3,267,14.9427,74.005,https://source.unsplash.com/featured/800x500/?Colem+Beach+goa+Beach+India+travel
50,Miramar Beach,Beach,5 km,1-2 hrs,,/goa/goa/miramar-beach,4.2,198,15.5017,73.8328,https://source.unsplash.com/featured/800x500/?Miramar+Beach+goa+Beach+India+travel
51,Victoria Memorial,Monument,2 km,1-2 hrs,St Paul,/west-bengal/kolkata/victoria-memorial,4.7,645,22.5448,88.3426,https://source.unsplash.com/featured/800x500/?Victoria+Memorial+kolkata+Monument+India+travel
52,Howrah Bridge,Monument,3 km,30 min,Dakshineswar,/west-bengal/kolkata/howrah-bridge,4.6,723,22.5865,88.3621,https://source.unsplash.com/featured/800x500/?Howrah+Bridge+kolkata+Monument+India+travel
53,Dakshineswar Temple,Pilgrimage,8 km,1-2 hrs,,/west-bengal/kolkata/dakshineswar-temple,4.8,512,22.6194,88.3704,https://source.unsplash.com/featured/800x500/?Dakshineswar+Temple+kolkata+Pilgrimage+India+travel
54,Indian Museum,Museum,1 km,2-3 hrs,Victoria,/west-bengal/kolkata/indian-museum,4.5,378,22.5512,88.367,https://source.unsplash.com/featured/800x500/?Indian+Museum+kolkata+Museum+India+travel
55,Jorasanko Tagore House,Heritage,2 km,1 hr,,/west-bengal/kolkata/jorasanko-tagore-house,4.4,234,22.5743,88.3606,https://source.unsplash.com/featured/800x500/?Jorasanko+Tagore+House+kolkata+Heritage+India+travel
56,Kalighat Temple,Pilgrimage,3 km,1-2 hrs,,/west-bengal/kolkata/kalighat-temple,4.6,456,22.5149,88.3631,https://source.unsplash.com/featured/800x500/?Kalighat+Temple+kolkata+Pilgrimage+India+travel
57,St. Paul Cathedral,Pilgrimage,1.5 km,1 hr,Victoria,/west-bengal/kolkata/st.-paul-cathedral,4.5,289,22.5435,88.3557,https://source.unsplash.com/featured/800x500/?St.+Paul+Cathedral+kolkata+Pilgrimage+India+travel
58,Belur Math,Pilgrimage,10 km,1-2 hrs,,/west-bengal/kolkata/belur-math,4.7,378,22.6508,88.3918,https://source.unsplash.com/featured/800x500/?Belur+Math+kolkata+Pilgrimage+India+travel
59,Marble Palace,Heritage,1 km,1 hr,,/west-bengal/kolkata/marble-palace,4.4,267,22.5667,88.3722,https://source.unsplash.com/featured/800x500/?Marble+Palace+kolkata+Heritage+India+travel
60,Nakhoda Mosque,Pilgrimage,2 km,1 hr,,/west-bengal/kolkata/nakhoda-mosque,4.3,198,22.5766,88.3749,https://source.unsplash.com/featured/800x500/?Nakhoda+Mosque+kolkata+Pilgrimage+India+travel
61,Vidhana Soudha,Heritage,3 km,1 hr,Cubbon Park,/karnataka/bangalore/vidhana-soudha,4.6,534,13.1939,77.5963,https://source.unsplash.com/featured/800x500/?Vidhana+Soudha+bangalore+Heritage+India+travel
62,Lal Bagh,Garden,5 km,1-2 hrs,Cubbon,/karnataka/bangalore/lal-bagh,4.5,612,13.1771,77.5947,https://source.unsplash.com/featured/800x500/?Lal+Bagh+bangalore+Garden+India+travel
63,Cubbon Park,Park,2 km,1-2 hrs,Vidhana,/karnataka/bangalore/cubbon-park,4.4,678,13.192,77.6006,https://source.unsplash.com/featured/800x500/?Cubbon+Park+bangalore+Park+India+travel
64,Tipu Sultan Palace,Heritage,4 km,1 hr,,/karnataka/bangalore/tipu-sultan-palace,4.5,423,13.205,77.6313,https://source.unsplash.com/featured/800x500/?Tipu+Sultan+Palace+bangalore+Heritage+India+travel
65,Bangalore Fort,Heritage,6 km,1-2 hrs,,/karnataka/bangalore/bangalore-fort,4.3,345,13.2023,77.6235,https://source.unsplash.com/featured/800x500/?Bangalore+Fort+bangalore+Heritage+India+travel
66,ISKCON Temple,Pilgrimage,8 km,1-2 hrs,,/karnataka/bangalore/iskcon-temple,4.7,512,12.9667,77.6667,https://source.unsplash.com/featured/800x500/?ISKCON+Temple+bangalore+Pilgrimage+India+travel
67,Bull Temple,Pilgrimage,5 km,45 min,,/karnataka/bangalore/bull-temple,4.4,289,13.1667,77.55,https://source.unsplash.com/featured/800x500/?Bull+Temple+bangalore+Pilgrimage+India+travel
68,Nandi Hills,Nature,60 km,3-4 hrs,,/karnataka/bangalore/nandi-hills,4.8,834,13.335,77.475,https://source.unsplash.com/featured/800x500/?Nandi+Hills+bangalore+Nature+India+travel
69,Bannerghatta National Park,Wildlife,25 km,4-5 hrs,,/karnataka/bangalore/bannerghatta-national-park,4.6,645,12.8333,77.6,https://source.unsplash.com/featured/800x500/?Bannerghatta+National+Park+bangalore+Wildlife+India+travel
70,Jayadeva Lake,Park,10 km,1 hr,,/karnataka/bangalore/jayadeva-lake,4.2,178,13.0917,77.5833,https://source.unsplash.com/featured/800x500/?Jayadeva+Lake+bangalore+Park+India+travel
71,Charminar,Monument,0 km,1 hr,Laad Bazaar,/telangana/hyderabad/charminar,4.7,834,17.3608,78.4734,https://source.unsplash.com/featured/800x500/?Charminar+hyderabad+Monument+India+travel
72,Golconda Fort,Heritage,11 km,2-3 hrs,,/telangana/hyderabad/golconda-fort,4.8,723,17.3757,78.405,https://source.unsplash.com/featured/800x500/?Golconda+Fort+hyderabad+Heritage+India+travel
73,Mecca Masjid,Pilgrimage,1 km,45 min,Charminar,/telangana/hyderabad/mecca-masjid,4.6,378,17.3676,78.4705,https://source.unsplash.com/featured/800x500/?Mecca+Masjid+hyderabad+Pilgrimage+India+travel
74,Laad Bazaar,Market,0 km,1-2 hrs,Charminar,/telangana/hyderabad/laad-bazaar,4.3,456,17.3614,78.4685,https://source.unsplash.com/featured/800x500/?Laad+Bazaar+hyderabad+Market+India+travel
75,Hussain Sagar Lake,Park,3 km,1 hr,,/telangana/hyderabad/hussain-sagar-lake,4.4,534,17.3773,78.4733,https://source.unsplash.com/featured/800x500/?Hussain+Sagar+Lake+hyderabad+Park+India+travel
76,Chowmahalla Palace,Heritage,2 km,1-2 hrs,,/telangana/hyderabad/chowmahalla-palace,4.5,423,17.3662,78.4756,https://source.unsplash.com/featured/800x500/?Chowmahalla+Palace+hyderabad+Heritage+India+travel
77,Salar Jung Museum,Museum,3 km,2-3 hrs,,/telangana/hyderabad/salar-jung-museum,4.6,345,17.3667,78.46,https://source.unsplash.com/featured/800x500/?Salar+Jung+Museum+hyderabad+Museum+India+travel
78,Ramakrishna Math,Pilgrimage,5 km,1 hr,,/telangana/hyderabad/ramakrishna-math,4.5,267,17.4,78.5,https://source.unsplash.com/featured/800x500/?Ramakrishna+Math+hyderabad+Pilgrimage+India+travel
79,NTR Gardens,Park,2 km,1 hr,Hussain Sagar,/telangana/hyderabad/ntr-gardens,4.2,198,17.3877,78.4767,https://source.unsplash.com/featured/800x500/?NTR+Gardens+hyderabad+Park+India+travel
80,Lumbini Park,Park,4 km,1 hr,,/telangana/hyderabad/lumbini-park,4.3,212,17.36,78.47,https://source.unsplash.com/featured/800x500/?Lumbini+Park+hyderabad+Park+India+travel
81,Kashi Vishwanath Temple,Pilgrimage,0 km,1-2 hrs,Ghat,/uttar-pradesh/varanasi/kashi-vishwanath-temple,4.9,956,25.3244,82.9789,https://source.unsplash.com/featured/800x500/?Kashi+Vishwanath+Temple+varanasi+Pilgrimage+India+travel
82,Dashashwamedh Ghat,Pilgrimage,0 km,1-2 hrs,Kashi,/uttar-pradesh/varanasi/dashashwamedh-ghat,4.8,634,25.323,82.9856,https://source.unsplash.com/featured/800x500/?Dashashwamedh+Ghat+varanasi+Pilgrimage+India+travel
83,Manikarnika Ghat,Pilgrimage,0.5 km,1 hr,Dashashwamedh,/uttar-pradesh/varanasi/manikarnika-ghat,4.7,512,25.3213,82.9889,https://source.unsplash.com/featured/800x500/?Manikarnika+Ghat+varanasi+Pilgrimage+India+travel
84,Assi Ghat,Pilgrimage,5 km,1 hr,,/uttar-pradesh/varanasi/assi-ghat,4.5,423,25.2894,83.0106,https://source.unsplash.com/featured/800x500/?Assi+Ghat+varanasi+Pilgrimage+India+travel
85,Benares Hindu University,Heritage,10 km,2-3 hrs,,/uttar-pradesh/varanasi/benares-hindu-university,4.6,378,25.2683,82.9889,https://source.unsplash.com/featured/800x500/?Benares+Hindu+University+varanasi+Heritage+India+travel
86,Bharat Kala Bhavan,Museum,8 km,2 hrs,BHU,/uttar-pradesh/varanasi/bharat-kala-bhavan,4.4,267,25.2683,82.9889,https://source.unsplash.com/featured/800x500/?Bharat+Kala+Bhavan+varanasi+Museum+India+travel
87,Alamgir Mosque,Pilgrimage,1 km,30 min,Manikarnika,/uttar-pradesh/varanasi/alamgir-mosque,4.3,198,25.3186,82.9867,https://source.unsplash.com/featured/800x500/?Alamgir+Mosque+varanasi+Pilgrimage+India+travel
88,Sankat Mochan Temple,Pilgrimage,3 km,1 hr,,/uttar-pradesh/varanasi/sankat-mochan-temple,4.5,289,25.3167,83.0083,https://source.unsplash.com/featured/800x500/?Sankat+Mochan+Temple+varanasi+Pilgrimage+India+travel
89,Durga Temple,Pilgrimage,4 km,1 hr,,/uttar-pradesh/varanasi/durga-temple,4.4,212,25.3211,82.9917,https://source.unsplash.com/featured/800x500/?Durga+Temple+varanasi+Pilgrimage+India+travel
90,Tulsi Manas Temple,Pilgrimage,2 km,45 min,,/uttar-pradesh/varanasi/tulsi-manas-temple,4.3,156,25.3298,83.0078,https://source.unsplash.com/featured/800x500/?Tulsi+Manas+Temple+varanasi+Pilgrimage+India+travel
91,Golden Temple,Pilgrimage,0 km,2-3 hrs,Jallianwala,/punjab/amritsar/golden-temple,4.9,1123,31.617,74.8765,https://source.unsplash.com/featured/800x500/?Golden+Temple+amritsar+Pilgrimage+India+travel
92,Jallianwala Bagh,Heritage,1 km,1 hr,Golden Temple,/punjab/amritsar/jallianwala-bagh,4.7,534,31.624,74.8717,https://source.unsplash.com/featured/800x500/?Jallianwala+Bagh+amritsar+Heritage+India+travel
93,Wagah Border,Monument,30 km,2-3 hrs,,/punjab/amritsar/wagah-border,4.6,812,31.7097,74.5964,https://source.unsplash.com/featured/800x500/?Wagah+Border+amritsar+Monument+India+travel
94,Akal Takht,Pilgrimage,0 km,1 hr,Golden Temple,/punjab/amritsar/akal-takht,4.8,423,31.617,74.8765,https://source.unsplash.com/featured/800x500/?Akal+Takht+amritsar+Pilgrimage+India+travel
95,Partition Museum,Museum,2 km,1-2 hrs,,/punjab/amritsar/partition-museum,4.5,267,31.6282,74.8722,https://source.unsplash.com/featured/800x500/?Partition+Museum+amritsar+Museum+India+travel
96,Ram Bagh,Park,2 km,1 hr,,/punjab/amritsar/ram-bagh,4.2,178,31.644,74.8614,https://source.unsplash.com/featured/800x500/?Ram+Bagh+amritsar+Park+India+travel
97,Katra Ahluwalia,Heritage,1 km,45 min,,/punjab/amritsar/katra-ahluwalia,4.3,145,31.6262,74.8705,https://source.unsplash.com/featured/800x500/?Katra+Ahluwalia+amritsar+Heritage+India+travel
98,Durgiana Temple,Pilgrimage,2 km,1 hr,,/punjab/amritsar/durgiana-temple,4.4,189,31.6378,74.8686,https://source.unsplash.com/featured/800x500/?Durgiana+Temple+amritsar+Pilgrimage+India+travel
99,Langar,Pilgrimage,0 km,1-2 hrs,Golden Temple,/punjab/amritsar/langar,4.7,345,31.617,74.8765,https://source.unsplash.com/featured/800x500/?Langar+amritsar+Pilgrimage+India+travel
100,Sri Guru Harmandir Sahib,Pilgrimage,0 km,1 hr,Golden Temple,/punjab/amritsar/sri-guru-harmandir-sahib,4.8,312,31.617,74.8765,https://source.unsplash.com/featured/800x500/?Sri+Guru+Harmandir+Sahib+amritsar+Pilgrimage+India+travel
101,Backwaters,Beach,0 km,2-4 hrs,,/kerala/alleppey/backwaters,4.8,845,9.4981,76.3388,https://source.unsplash.com/featured/800x500/?Backwaters+alleppey+Beach+India+travel
102,Houseboat Ride,Beach,5 km,2-3 hrs,Backwaters,/kerala/alleppey/houseboat-ride,4.7,712,9.5,76.34,https://source.unsplash.com/featured/800x500/?Houseboat+Ride+alleppey+Beach+India+travel
103,Alleppey Beach,Beach,2 km,1-2 hrs,Backwaters,/kerala/alleppey/alleppey-beach,4.5,434,9.4878,76.3228,https://source.unsplash.com/featured/800x500/?Alleppey+Beach+alleppey+Beach+India+travel
104,Krishnapuram Palace,Heritage,10 km,1-2 hrs,,/kerala/alleppey/krishnapuram-palace,4.4,278,9.45,76.25,https://source.unsplash.com/featured/800x500/?Krishnapuram+Palace+alleppey+Heritage+India+travel
105,Pathiramanal Island,Nature,8 km,1 hr,,/kerala/alleppey/pathiramanal-island,4.3,156,9.52,76.31,https://source.unsplash.com/featured/800x500/?Pathiramanal+Island+alleppey+Nature+India+travel
106,Vembanad Lake,Park,3 km,1 hr,Backwaters,/kerala/alleppey/vembanad-lake,4.4,234,9.5,76.35,https://source.unsplash.com/featured/800x500/?Vembanad+Lake+alleppey+Park+India+travel
107,Alleppey Lighthouse,Monument,2 km,30 min,Beach,/kerala/alleppey/alleppey-lighthouse,4.2,198,9.4867,76.3267,https://source.unsplash.com/featured/800x500/?Alleppey+Lighthouse+alleppey+Monument+India+travel
108,St. Mary Church,Pilgrimage,1 km,45 min,,/kerala/alleppey/st.-mary-church,4.3,145,9.5,76.34,https://source.unsplash.com/featured/800x500/?St.+Mary+Church+alleppey+Pilgrimage+India+travel
109,Ayurvedic Resort,Heritage,3 km,1-2 hrs,,/kerala/alleppey/ayurvedic-resort,4.5,389,9.51,76.32,https://source.unsplash.com/featured/800x500/?Ayurvedic+Resort+alleppey+Heritage+India+travel
110,Boat Club,Beach,1 km,1 hr,Backwaters,/kerala/alleppey/boat-club,4.3,167,9.495,76.335,https://source.unsplash.com/featured/800x500/?Boat+Club+alleppey+Beach+India+travel
111,Fort Kochi,Heritage,10 km,1-2 hrs,Chinese Fishing Nets,/kerala/kochi/fort-kochi,4.6,612,9.9689,76.243,https://source.unsplash.com/featured/800x500/?Fort+Kochi+kochi+Heritage+India+travel
112,Chinese Fishing Nets,Heritage,12 km,1 hr,Fort Kochi,/kerala/kochi/chinese-fishing-nets,4.7,534,9.96,76.244,https://source.unsplash.com/featured/800x500/?Chinese+Fishing+Nets+kochi+Heritage+India+travel
113,Mattancherry Palace,Heritage,2 km,1 hr,Jewish Synagogue,/kerala/kochi/mattancherry-palace,4.5,378,9.9683,76.266,https://source.unsplash.com/featured/800x500/?Mattancherry+Palace+kochi+Heritage+India+travel
114,Jewish Synagogue,Pilgrimage,2 km,45 min,Mattancherry,/kerala/kochi/jewish-synagogue,4.4,267,9.9694,76.2676,https://source.unsplash.com/featured/800x500/?Jewish+Synagogue+kochi+Pilgrimage+India+travel
115,Paradesi Synagogue,Pilgrimage,2 km,45 min,,/kerala/kochi/paradesi-synagogue,4.3,198,9.97,76.268,https://source.unsplash.com/featured/800x500/?Paradesi+Synagogue+kochi+Pilgrimage+India+travel
116,Kathakali Dance,Heritage,5 km,1 hr,,/kerala/kochi/kathakali-dance,4.6,456,9.97,76.25,https://source.unsplash.com/featured/800x500/?Kathakali+Dance+kochi+Heritage+India+travel
117,St. Francis Church,Pilgrimage,11 km,1 hr,Fort Kochi,/kerala/kochi/st.-francis-church,4.5,289,9.9667,76.245,https://source.unsplash.com/featured/800x500/?St.+Francis+Church+kochi+Pilgrimage+India+travel
118,Jew Town,Market,2 km,1-2 hrs,Synagogue,/kerala/kochi/jew-town,4.4,345,9.969,76.267,https://source.unsplash.com/featured/800x500/?Jew+Town+kochi+Market+India+travel
119,Spice Market,Market,3 km,1-2 hrs,Kashi Art Cafe,/kerala/kochi/spice-market,4.3,267,9.97,76.26,https://source.unsplash.com/featured/800x500/?Spice+Market+kochi+Market+India+travel
120,Bolghatty Island,Park,5 km,1-2 hrs,,/kerala/kochi/bolghatty-island,4.2,156,10.01,76.24,https://source.unsplash.com/featured/800x500/?Bolghatty+Island+kochi+Park+India+travel
121,Agra Heritage Trail 01,Heritage,0.5 km,30 min,Agra Central Loop,/uttar-pradesh/agra/agra-heritage-trail-01,3.9,329,27.192,77.9559,https://source.unsplash.com/featured/800x500/?Agra+Heritage+Trail+01+agra+Heritage+India+travel
122,Agra Legacy Lane 02,Historic,1.0 Km,1 hr,Agra Central Loop,/uttar-pradesh/agra/agra-legacy-lane-02,4.0,204,27.1961,78.0512,https://source.unsplash.com/featured/800x500/?Agra+Legacy+Lane+02+agra+Historic+India+travel
123,Agra Cultural House 03,Museum,1.7 Km,1-2 hrs,Agra Central Loop,/uttar-pradesh/agra/agra-cultural-house-03,4.1,1282,27.132,77.9787,https://source.unsplash.com/featured/800x500/?Agra+Cultural+House+03+agra+Museum+India+travel
124,Agra Forest View 04,Nature,2.2 Km,2-3 hrs,Agra Central Loop,/uttar-pradesh/agra/agra-forest-view-04,4.3,515,27.1678,78.0025,https://source.unsplash.com/featured/800x500/?Agra+Forest+View+04+agra+Nature+India+travel
125,Agra Scenic Point 05,Scenic,2.7 Km,Half day,Agra Central Loop,/uttar-pradesh/agra/agra-scenic-point-05,4.4,901,27.1985,77.9905,https://source.unsplash.com/featured/800x500/?Agra+Scenic+Point+05+agra+Scenic+India+travel
